ID,Smiles,pIC50
BH-42,FC1=CC(F)=CC(OC(N2CCCC2)=O)=C1,8.003926346
24,O=C1C(C2=CC=C(OCCCCCN3CC(C=CC=C4)=C4CC3)C=C2)=COC5=C1C(O)=CC(OC(N(C)CC)=O)=C5,8.001304842
757,COc1ccc(C(=O)C(=O)c2ccccc2)cc1,7.987162775
243,O=C(OC1=CC=C(C(N(CC)CC)=O)C=C1OC)N(C)CC,7.981715692
242,COC1=C(OC(N(C)CC)=O)C(OC)=CC(CCC(N2CCC(C3=NOC4=C3C=CC(F)=C4)CC2)=O)=C1,7.98088371
ZQ-6,CCCC1=CC(OC)=C(OC(N2CCCC2)=O)C=C1,7.967381239
641,CCOC(=O)/C(=N\Nc1ccc(Br)cc1)C(=O)C(F)(F)F,7.966174306
230,COC1=C(OC)C=C(C/C(C2=O)=C\C3=CC=CC=C3OC(N(C)C)=O)C2=C1,7.940436582
353,COC1=CC=CC(OC(N2CCOCC2)=O)=C1,7.936666641
231,O=C(C1=CC(OC)=C(OC)C=C1C/2)C2=C\C3=CC=CC=C3OC(N(CC)CC)=O,7.929592678
KYL-5,OC1=CC(OC(N(C)CC)=O)=CC=C1C(C2=CC=CC=C2)=O,7.927750102
LQ-8,OC1=C2C(OC(C3=CC=C(OC(N(CC)CC)=O)C=C3)CC2=O)=CC(OCCCCCCN(CC4=CC=CC=C4)CC)=C1,7.91150953
BM-10,O=C1C(C2=CC=C(OC(N(C)CC)=O)C=C2)=COC3=C1C(OC(N(C)CC)=O)=CC(OC(N(C)CC)=O)=C3,7.89245087
ZQ-14,FC(F)(OC1=CC=C(OC(N2CCCC2)=O)C=C1)F,7.887730232
82,O=C(C1=C(OC(N(CC)CC)=O)C=C(OC(N(CC)CC)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.870310108
791,O=C(C(=O)c1ccc(F)c(F)c1F)c1ccc(F)c(F)c1F,7.866461092
32,O=C1C2C=CC(OC(N(C)C)=O)=CC2OC=C1C3=CC=C(OC)C=C3,7.863279433
ZQ-5,CCCC1=CC(OC)=C(OC(N2CCOCC2)=O)C=C1,7.836838625
QC-2,OC1=C2C(OC(C3=CC=C(O)C=C3)=CC2=O)=CC(OC(N(CC)CC)=O)=C1,7.820735536
QI-10,O=C(OC1=CC=C(C(OC2=CC(OCCCCCCN(CC3=CC=CC=C3)CC)=CC(O)=C42)CC4=O)C=C1)N(CC)CC,7.800519085
632,COC(=O)/C(=N\Nc1ccccc1[N+](=O)[O-])C(=O)C(F)(F)F,7.771599641
155,O=C(N1C2=CC=C(OC)C=C2)C3=CC=CC=C3C(SC4=CC(OC(N(C)C)=O)=CC=C4)(C(N(C)C)=O)C1=O,7.757955761
74,COC1=CC(/C=C/C(NC2CCN(CC3=CC=CC=C3)CC2)=O)=CC=C1OC(N4CCCC4)=O,7.734474665
366,O=C(CCCCCC)C1=C(C=C(C2=CC(C(F)(F)F)=CC=C2O)O3)C3=CC=C1,7.698970004
258,O=C(CCC)C1=C(C=C(C2=CC(OC)=CC=C2O)O3)C3=CC=C1,7.677780705
814,O=C(C(=O)c1ccc(CBr)cc1)c1ccccc1,7.671620397
QI-5,COC1=C(OC(N(CC)C)=O)C=CC(CCC)=C1,7.666552726
1,O=C(N1CCCC1)OC2=CC(F)=CC=C2,7.665345233
120,O=C(CCCCCCCC)C1=C(C=C(C2=CC(OC)=CC=C2O)O3)C3=CC=C1,7.657577319
